cod_exp,num_proc,dependencia,unidad_comp,correo,nombre_procedimiento,tipo_proc,entidad_fed,anio_ej,proc_exc,fecha_pub,claves_list,part_testigo,abastecimiento_sim,plurianual,tipo_cont,anticipo,forma_pago,plazo_garant,meses_garant,garant_cump,caracter,caso_fort ,tipo_cont_abierto,uri,scrapped_day
E-2024-00081868,PC-2024-00000983,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR004 OFICINA DE ADQUISICIONES DE LA DELEGACION CHIAPAS,victor.tellez@imss.gob.mx,,LICITACIÓN PÚBLICA,CHIAPAS,2024,NO,,44102,NO,NO,NO,SERVICIOS,NO,EL PAGO SE REALIZARÁ EN UNA SOLA EXHIBICIÓN A LOS 20 DÍAS NATURALES POSTERIORES A LA ENTREGA DE DOCUMENTACION SUSCEPTIBLE PARA PAGO,10,,SI,NACIONAL,NO,CANTIDAD,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/365d3a193d244ace8fd8c0a53ffe00ef/proyecto,16/08/2024
E-2024-00079793,PC-2024-00000967,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR046 HOSPITAL DE ESPECIALIDADES DEL CMN MANUEL AVILA CAMACHO EN PUEBLA,zury.herrera@imss.gob.mx,,LICITACIÓN PÚBLICA,PUEBLA,2024,NO,,"21101,21401,21601,22301,23101,23701,24601,24701,24801,24901,25401,25501,27501,28201,29101,29401,29501,29601,29701,53101,56201,56601",NO,NO,NO,ADQUISICIONES,NO,PAGOS PROGRESIVOS,10,,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,CANTIDAD,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
E-2024-00081246,PC-2024-00000974,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR036 UMAE HOSPITAL DE GINECO OBSTETRICIA NO 4,mario.viverosm@imss.gob.mx,,LICITACIÓN PÚBLICA,CIUDAD DE MÉXICO,2024,NO,,"21401,21701,23201,23701,24101,24401,24601,24701,24801,24901,25101,25401,26102,27201,29101,29201,29301,29401,29601,29801,29901,51101,51901,53101,53201,56201,56601",NO,NO,NO,ADQUISICIONES,NO,TRANSFERENCIA ELECTRONICA,10,,SI,NACIONAL,NO,CANTIDAD,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b005f29806134df89466ca3c04d8a392/proyecto,16/08/2024
E-2024-00080833,PC-2024-00000968,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR037 UMAE HOSPITAL DE ESPECIALIDADES NO. 2 DEL CMN LUIS DONALDO MURRIETA,alejandro.jimenezj@imss.gob.mx,,LICITACIÓN PÚBLICA,SONORA,2024,NO,,"21101,21601,22301,23301,25401,25501,51901",NO,NO,NO,ADQUISICIONES,NO,ELECTRONICO,10,,SI,NACIONAL,NO,CANTIDAD,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b813b164ab9040688b746df1df4a7be4/proyecto,16/08/2024
E-2024-00077887,PC-2024-00000931,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"050GYR016 COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO, DELEGACION NORTE DEL DISTRITO FEDERAL",alizon.montoya@imss.gob.mx,,LICITACIÓN PÚBLICA,CIUDAD DE MÉXICO,2024,NO,,"21401,24601,24701,24801,25101,25401,25501,26102,29501,29701,51901,53101,53201,56601",NO,NO,NO,ADQUISICIONES,NO,PRESENTANDO FACTURA (TRANSFERENCIA INTERBANCARIA) CONFORME A LO ESTIPULADO EN BASES,10,,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,CANTIDAD,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c518c7b6fb634d6db109f84d452d9e66/proyecto,16/08/2024
E-2024-00076741,PC-2024-00000923,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"050GYR069 DEPARTAMENTO DE ADQUISICIONES, BIENES Y EQUIPAMIENTO",karime.garcia@imss.gob.mx,,LICITACIÓN PÚBLICA,CAMPECHE,2024,NO,,44102,NO,NO,NO,SERVICIOS,NO,PARCIALIDADES,10,12,SI,NACIONAL,NO,MONTO,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/a57f13595d5f4327b106b15fdac104c4/proyecto,16/08/2024
E-2024-00075906,PC-2024-00000917,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR010 COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,enrique.salas@imss.gob.mx,,LICITACIÓN PÚBLICA,DURANGO,2024,NO,,"21101,22301,24601,25401,53101",NO,NO,NO,ADQUISICIONES,NO,TRANSFERENCIA BANCARIA,10,12,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/f41948188f9643b7a3bec2c09d5bab1b/proyecto,16/08/2024
E-2024-00074822,PC-2024-00000907,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR010 COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,jesus.castrov@imss.gob.mx,,LICITACIÓN PÚBLICA,DURANGO,2024,NO,,"21101,22301,23301,23701,23801,25401,25501,27201,27501,29101,51901,56701",NO,NO,NO,ADQUISICIONES,NO,TRANSFERENCIA BANCARIA,10,12,SI,NACIONAL,NO,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/d405c825e58d457a8cf63932006b422b/proyecto,16/08/2024
E-2024-00059322,PC-2024-00000820,060N60 - UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES,901040991 SECRETARÍA ADMINISTRATIVA,rene.herrera@upa.edu.mx,,LICITACIÓN PÚBLICA,AGUASCALIENTES,2024,NO,,"21101,21601,29201,31701,32701,33601,35901",NO,NO,NO,SERVICIOS,NO,TRANSFERENCIA ELECTRONICA DENTRO DE LOS 20 DÍAS NATURALES POSTERIORES A LA RECEPCIÓN DE LA FACTURA,10,12,SI,NACIONAL,NO,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c59f3e8ea58d44c8924929f68248e1d9/proyecto,16/08/2024
E-2024-00056730,PC-2024-00000813,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"050GYR049 UMAE DR. VICTORIO DE LA FUENTE NARVAEZ CIUDAD DE MEXICO, DIRECCION",alejandro.rodriguezl@imss.gob.mx,,LICITACIÓN PÚBLICA,CIUDAD DE MÉXICO,2024,NO,,"21101,21601,22301,25101,25401,53201",NO,NO,NO,ADQUISICIONES,NO,"EL PAGO SE REALIZARA MEDIANTE TRASFERENCIA ELECTRÓNICA DE FONDOS, A TRAVÉS DEL ESQUEMA ELECTRÓNICO INTERBANCARIO QUE EL IMSS TIENE EN OPERACIÓN, A MENOS QUE EL PROVEEDOR ACREDITE EN FORMA FEHACIENTE LA IMPOSIBILIDAD PARA ELLO",,,NO,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,CANTIDAD,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/8493955d55b8400aa68b041e1381b553/proyecto,16/08/2024
