Clave compendio,Codigo del expediente,Número del procedimiento o contratación,Partida específica,Clave CUCoP+,Descripción CUCoP+,Descripción detallada,Unidad de medida,Cantidad solicitada,uri,scrapped_day
,E-2024-00081868,PC-2024-00000983,44102,44102-0001,TRASLADO DE PERSONAS,GASTOS POR SERVICIO DE TRASLADO DE PERSONAS.,SERVICIO,1,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/365d3a193d244ace8fd8c0a53ffe00ef/proyecto,16/08/2024
,E-2024-00081868,PC-2024-00000983,44102,44102-0001,TRASLADO DE PERSONAS,GASTOS POR SERVICIO DE TRASLADO DE PERSONAS.,SERVICIO,1,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/365d3a193d244ace8fd8c0a53ffe00ef/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,24601,24601-0003,ADAPTADORES,"379.017.2211.00.02 ADAPTADOR EN ""T"" CON CONECTOR PARA ADULTO, EL CUAL CONECTA LA UNIDAD NEBULIZADORA (MP01030) DEL NEBULIZADOR ""AERONEB PRO"" CON EL CIRCUITO DE PACIENTE.CUENTA CON PUERTOS DE CONEXIONDE 22 MM DE DIAMETRO, ADAPTABLES A LOS CIRCUITOS ESTANDAR. PRESENTACION:",PIEZA,23,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,24601,24601-0003,ADAPTADORES,"379.017.3722.00.01 ADAPTADOR PARA PLACA DISPERSIVA, DE RETORNO O NEUTRA, CON CONECTOR PLUG DE 6MM, PARA CONECTAR PLACAS DE RETORNO DESECHABLES CON CONECTOR TIPO ERBE NE 2 PIN. PIEZA PRESENTACION: PAQUETE CON 4 PIEZAS. MARCAS COMPATIBLES: ERBE, CONMED,",PIEZA,4,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,25401,25401-0020,AGUJA PARA BIOPSIA,"379.020.0152.00.01 AGUJA PARA MARCAJE MAMARIO KOPANS 20G X 9 CM MARCA COOK ECHOTIP. PRESENTACION: PIEZA. NUMERO DE CATALOGO: DKBL-20-9.0-U. PARA SU USO EN EL EQUIPO: CLAVE 531 341 2214 MASTOGRAFIA, UNIDAD RADIOLOGICA PARA. MARCA: INSTRUMENTARIUM. MODELO:",PIEZA,34,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,25401,25401-0020,AGUJA PARA BIOPSIA,"379.020.0178.00.01 AGUJA DE BIOPSIA DE TEJIDOS POR VIA PERCUTANEA DESECHABLE, 16G. Y 16CM. DE LONGITUD CON MUESCA DE 1.9 CM. PRESENTACION: PIEZA. NUMERO DE CATALOGO: MN1616. PARA SU USO EN EL EQUIPO: CLAVE 531 692 0023 PISTOLA PARA TOMA DE BIOPSIAS.",PIEZA,77,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,25401,25401-0020,AGUJA PARA BIOPSIA,"379.020.0251.00.01 AGUJA DE BIOPSIA DE TEJIDOS POR VIA PERCUTANEA DESECHABLE 14 Y 16 CENTIMETROS DE LONGITUD CON MUESCA DE 1,9 CENTIMETROS. PRESENTACION: PIEZA. NUMERO DE CATALOGO: MN 1416. PARA SU USO EN EL EQUIPO: CLAVE 531 692 0023 PISTOLA PARA",PIEZA,67,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,25401,25401-0020,AGUJA PARA BIOPSIA,"379.020.0848.00.01 AGUJA DE BIOPSIA CON SISTEMA AUTOMATICO, CUENTA CON 2 MODOS DE DISPARO, AJUSTE DE TAMA?O DE MUESTRA DE 10 A 25 MM, MARCAS ECOGENICAS EN PARTE DISTAL, MARCAS RADIOPACAS A CADA CENTIMETRO Y DOBLE MARCAJE CADA 5 CM, CUENTA CON INTRODUCTOR COAXIAL. 14 GAUGE",PIEZA,2,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,25401,25401-0020,AGUJA PARA BIOPSIA,"379.020.0855.00.01 AGUJA DE BIOPSIA CON SISTEMA AUTOMATICO, CUENTA CON 2 MODOS DE DISPARO, AJUSTE DE TAMA?O DE MUESTRA DE 10 A 25 MM , MARCAS ECOGENICAS EN PARTE DISTAL, MARCAS RADIOPACAS A CADA CENTIMETRO Y DOBLE MARCAJE CADA 5 CM, CUENTA CON INTRODUCTOR COAXIAL.18 GAUGE",PIEZA,2,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,25401,25401-0550,ADITAMENTO PARA NEBULIZADOR,"379.026.0016.00.00 ADITAMENTOS DOBLES (DOS SALIDAS DE AIRE), DE UNA MISMA TOMA, VOLANTE REGULADOR PARA AJUSTAR LA PRESION A LOS NIVELES REQUERIDOS, CON 2 MANOMETROS, PRESION DE TRABAJO: 4-6 KG/CM2, CUERPO FABRICADO EN LATON CUBIERTO CON NIQUEL >40 Y ACABADO EN CROMO CON V",PIEZA,45,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,29101,29101-0010,APLICADOR DE SILICON,"379.039.0326.00.00 APLICADOR ESTERIL, DESECHABLE, FLEXIBLE PARA MARCAR RADIOGRAFICAMENTE EL TEJIDO MAMARIO PERCUTANEO DEL SITIO DE BIOPSIA, CALIBRE 10G Y FORMA DE ALAMBRE EN O. CONSISTE EN TRES ALMOHADILLAS DE ACIDO POLIGLICOLICO (PGA) RE ABSORBIBLES. LA ALMOHADILLA CENTR",PIEZA,2,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
,E-2024-00079793,PC-2024-00000967,24601,24601-0065,PILAS (BATERIAS),"379.095.0566.00.00 BATERIAS ALCALINAS DESECHABLES TAMA?O: AAA, DE: 1.5 VOLTS. PRESENTACION: PAQUETE CON 6 PIEZAS. MARCAS COMPATIBLES: DURACELL / ENERGIZER / MAXELL / PANASONIC / STEREN.",PIEZA,95,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/bd6d39e1174e4711b197af21f4c3fb5f/proyecto,16/08/2024
