Clave compendio,Clave Cucop,Descripción detallada,Codigo del expediente,Número del procedimiento o contratación,Dependencia,Número Unidad Compradora,Nombre Unidad Compradora,Fecha y hora de la publicación,Año del ejercicio presupuestal,Clave partidas,Proveedor,Número de contrato,Fecha de inicio,Fecha de fin,Importe Unitario sin Impuestos,Total Sin IVA,Total con IVA,uri,scrapped_day,total cantidad minima
,37701-0002,SERVICIO DE MENAJE DE CASA DERIVADO DEL CAMBIO DE ADSCRIPCIÓN DE OFICIALES FEDERALES DE PESCA,E-2024-00006161,AA-08-I00-008I00002-N-5-2024,008I00 - COMISION NACIONAL DE ACUACULTURA Y PESCA,008I00002,"UNIDAD DE ADMINISTRACIÓN, SUBDIRECCIÓN DE RECURSOS MATERIALES Y SERVICIOS GENERALES",23/01/2024 16:55,2024,37701,ROMEX MUDANZAS SA DE CV,AD/002/01/24,29/01/2024,29/02/2024,"$116,500.00","$116,500.00","$135,140.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/19d42a697e9049cc9e6949fce121cbd3/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE LOGÍSTICA EN ATENCIÓN A CARRERA CON MOTIVO DEL 29 ANIVERSARIO DE ASIPONA TAMPICO,E-2023-00094612,AA-13-J3D-013J3D002-N-62-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 17:14,2023,38102,RAYMUNDO MARTINEZ MEJIA,ORDEN DE SERVICIO-29805,19/09/2023,19/09/2023,"$50,537.50","$50,537.50","$57,991.78",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/a1621795be334a5fb12c7e9f7c35ca54/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE DISEÑO Y ELABORACIÓN DE REPLICA A ESCALA DE EDIFICIO DE LA ANTIGUA ADUANA CON MOTIVO DEL DÍA DE LA MARINA.,E-2023-00044815,AA-13-J3D-013J3D002-N-21-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 18:19,2023,38102,MAXIMILIANO VICTOR IBARIAS GRANADOS,ORDEN DE SERVICIO-29294,11/05/2023,11/05/2023,"$176,600.00","$176,600.00","$204,856.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/8a4824c8e93141c18ef66be7ca4c0669/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE EVENTO TAMPICO DE MIS AMORES POR ANIVERSARIO DE ASIPONA TAMPICO,E-2023-00102273,AA-13-J3D-013J3D002-N-72-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 16:57,2023,38102,JUAN GUILLERMO GARCIA MORENO,ORDEN DE SERVICIO-29891,11/10/2023,11/10/2023,"$213,250.00","$213,250.00","$247,370.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/3e4b4b86126f4060902d00263264e798/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE ARRENDAMIENTO DE TOLDO EN ATENCIÓN A EVENTO 1ERO DE JUNIO.,E-2023-00045005,AA-13-J3D-013J3D002-N-30-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 18:11,2023,38102,PRODUCCIONES Y LOGISTICA EMPRESARIAL SA DE CV,ORDEN DE SERVICIO-29362,29/05/2023,29/05/2023,"$289,800.00","$289,800.00","$336,168.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/cd4ad7ee314a4bef989cb87e41da0fd7/procedimiento,17/08/2024,
,37901-0001,HOSPEDAJE FESTIVAL ACADEMICO 2023,E-2023-00056053,AA-91-Z52-932041982-N-14-2023,091Z52 - COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE ZACATECAS,932041982,DIRECCIÓN GENERAL,13/07/2023 13:44,2023,37901,CAPITALI GRUPO HOTELERO SA DE CV,CECYTEZ-ADQ-SER-AD-RF-014-2023,26/04/2023,28/04/2023,"$89,917.24","$89,917.24","$104,304.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/4b58a7b36a0640359d19f6a1bd9a742e/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE ARRENDAMIENTO DE SANITARIO MÓVIL INSTITUCIONAL (REMOLQUE CON SEIS SANITARIOS) EN ATENCIÓN A EVENTO DEL 1 DE JUNIO DÍA DE LA MARINA,E-2023-00044981,AA-13-J3D-013J3D002-N-27-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,03/06/2023 13:18,2023,38102,DAVID LOPEZ SANCHEZ,ORDEN DE SERVICIO-29350,26/05/2023,26/05/2023,"$51,200.00","$51,200.00","$59,392.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/d1b44422910c4222809e08eb13d4852d/procedimiento,17/08/2024,
,37901-0001,GASTOS DE OPERACIÓN,E-2023-00126310,AA-91-Z52-932041982-N-30-2023,091Z52 - COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE ZACATECAS,932041982,DIRECCIÓN GENERAL,05/12/2023 14:47,2023,"22103,37504,37901",HOTELERA MISION AGUASCALIENTES SA DE CV,CECYTEZ-ADQ-SER-AD-RF-030-2023,20/09/2023,22/09/2023,"$40,782.41","$40,782.41","$47,307.60",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/4e4b05673e2248a8abfe74ec17418770/procedimiento,17/08/2024,
,22103-0395,ALIMENTOS PARA PERSONAL,E-2023-00126310,AA-91-Z52-932041982-N-30-2023,091Z52 - COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE ZACATECAS,932041982,DIRECCIÓN GENERAL,05/12/2023 14:47,2023,"22103,37504,37901",HOTELERA MISION AGUASCALIENTES SA DE CV,CECYTEZ-ADQ-SER-AD-RF-030-2023,20/09/2023,22/09/2023,"$7,655.17","$7,655.17","$8,880.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/4e4b05673e2248a8abfe74ec17418770/procedimiento,17/08/2024,
,37504-0001,VIATICOS PARA TRABAJADORES,E-2023-00126310,AA-91-Z52-932041982-N-30-2023,091Z52 - COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE ZACATECAS,932041982,DIRECCIÓN GENERAL,05/12/2023 14:47,2023,"22103,37504,37901",HOTELERA MISION AGUASCALIENTES SA DE CV,CECYTEZ-ADQ-SER-AD-RF-030-2023,20/09/2023,22/09/2023,"$11,536.55","$11,536.55","$13,382.40",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/4e4b05673e2248a8abfe74ec17418770/procedimiento,17/08/2024,
