Clave compendio,Codigo del expediente,Número del procedimiento o contratación,Partida específica,Clave CUCoP+,Descripción CUCoP+,Descripción detallada,Unidad de medida,Cantidad solicitada,Clave partidas,Dependencia,desc_det_anuncio,uc,fecha_presentacion,fecha_pub,is_alert_for_keywords,uri,scrapped_day
,E-2024-00086546,IA-84-W53-925002997-N-10-2024,26102,26102-0028,VALES IMPRESOS EN PAPEL CANJEABLES POR COMBUSTIBLES PARA VEHICULOS TERRESTRES DESTINADOS A SERVICIOS PUBLICOS Y LA OPERACION DE PROGRAMAS PUBLICOS,"1.- VALES DE GASOLINA (PAPEL), PARA EL PROGRAMA DE APOYO A LAS INSTANCIAS DE MUJERES EN LAS ENTIDADES FEDERATIVAS (PAIMEF)",PIEZA,"3,151",26102,084W53 - SECRETARÍA DE ADMINISTRACIÓN Y FINANZAS,"ADQUISICIÓN DE VALES DE GASOLINA (PAPEL), SOLICITADO POR LA SECRETARÍA DE LAS MUJERES.",DIRECCIÓN DE BIENES Y SUMINISTROS,22/08/2024 14:00,15/08/2024 14:07,"vales,gasolina,vale,apoyo,programa",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/d7d5610d2fde496784bd33b7050f5c1f/procedimiento,22/08/2024
,E-2024-00086546,IA-84-W53-925002997-N-10-2024,26102,26102-0028,VALES IMPRESOS EN PAPEL CANJEABLES POR COMBUSTIBLES PARA VEHICULOS TERRESTRES DESTINADOS A SERVICIOS PUBLICOS Y LA OPERACION DE PROGRAMAS PUBLICOS,"2.-VALES DE GASOLINA (PAPEL), PARA EL FONDO PARA EL AVANCE Y BIENESTAR DE LAS MUJERES (FOBAM)",PIEZA,484,26102,084W53 - SECRETARÍA DE ADMINISTRACIÓN Y FINANZAS,"ADQUISICIÓN DE VALES DE GASOLINA (PAPEL), SOLICITADO POR LA SECRETARÍA DE LAS MUJERES.",DIRECCIÓN DE BIENES Y SUMINISTROS,22/08/2024 14:00,15/08/2024 14:07,"vales,gasolina,vale",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/d7d5610d2fde496784bd33b7050f5c1f/procedimiento,22/08/2024
,E-2024-00086546,IA-84-W53-925002997-N-10-2024,26102,26102-0028,VALES IMPRESOS EN PAPEL CANJEABLES POR COMBUSTIBLES PARA VEHICULOS TERRESTRES DESTINADOS A SERVICIOS PUBLICOS Y LA OPERACION DE PROGRAMAS PUBLICOS,"3.-VALES DE GASOLINA (PAPEL), PARA EL PROGRAMA PARA EL ADELANTO, BIENESTAR E IGUALDAD DE LAS MUJERES (PROABIM)",PIEZA,"1,597",26102,084W53 - SECRETARÍA DE ADMINISTRACIÓN Y FINANZAS,"ADQUISICIÓN DE VALES DE GASOLINA (PAPEL), SOLICITADO POR LA SECRETARÍA DE LAS MUJERES.",DIRECCIÓN DE BIENES Y SUMINISTROS,22/08/2024 14:00,15/08/2024 14:07,"vales,gasolina,vale,programa",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/d7d5610d2fde496784bd33b7050f5c1f/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0001,ABRELATAS (MANUAL O ELECTRICO),"120 009 106 00 01 ABRELATAS DE PALOMA, DE ACERO, CON MANGO.",PIEZA,6,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,21101,21101-0057,CESTO DE PLASTICO,"120 133 22 01 01 BOTE PARA BASURA, PLANTA: 49 X 49 CM. ALZADO: 50 CM. DE PLASTICO, CON TAPA.",PIEZA,1,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,21101,21101-0057,CESTO DE PLASTICO,"120 133 154 01 01 BOTE PARA BASURA, DE POLIETILENO, DE ALTA DENSIDAD, REDONDO, CON REBORDE REFORZADO AGARRADERAS DE USO INTENSIVO EN COLOR GRIS O CAFE CLARO, CON BASE RODABLE INTEGRADA DE 55 A 60 CM. DE DIAMETRO POR 70 CM. DE ALTURA, CON TAPA.",PIEZA,2,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,21101,21101-0056,CESTO BASURA,"120 133 329 01 01 BOTE ESPECIERO DE ALUMINIO, CAPACIDAD 1,000 ML.",PIEZA,12,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0014,CAFETERA (UTENSILIO),"120 158 378 00 01 CAFETERA ELECTRICA CON PLACA TERMICA, FILTROS INTERCAMBIABLES DE PAPEL, JARRA DE CRISTAL Y/O TERMO CON AGARRADERA Y TAPA DE PLASTICO, CAPACIDAD PARA 12 TAZAS.",PIEZA,1,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0020,CHAROLA,120 198 16 01 01 CHAROLA. DE ALUMINIO. PARA PAN. 65 X 26 CM.,PIEZA,4,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0020,CHAROLA,120 198 24 01 01 CHAROLA. DE ACERO INOXIDABLE DE 50 X 30 10 CM.,PIEZA,4,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
